age,gender,education_level,experience_years,pevious_companies,distance_from_company,interview_score,skill_score,personality_score,recruitment_strategy,hiring_decision
26,Male,Bachelor's (Type 2),0,3,26.78382755385365,48,78,91,Aggressive,Selected
39,Male,PhD,12,3,25.8626943295439,35,68,80,Moderate,Selected
48,Female,Bachelor's (Type 2),3,2,9.920804828174788,20,67,13,Moderate,Not Selected
34,Male,Bachelor's (Type 2),5,2,6.407750728667837,36,27,70,Constructive,Not Selected
30,Female,Bachelor's (Type 1),6,1,43.10534312417558,23,52,85,Moderate,Not Selected
27,Female,Master's,14,4,31.706658809375902,54,50,50,Aggressive,Selected
48,Female,Bachelor's (Type 2),6,1,17.291229200972435,24,52,64,Constructive,Not Selected
40,Female,PhD,13,3,10.586810869513323,6,3,92,Constructive,Not Selected
26,Male,Master's,6,5,28.77486400848157,80,78,51,Aggressive,Selected
45,Male,Bachelor's (Type 2),2,5,30.195964463056768,92,16,94,Constructive,Not Selected
38,Male,Bachelor's (Type 1),15,2,11.349680062252908,93,66,29,Moderate,Not Selected
42,Female,Master's,5,5,43.5702873945737,70,73,56,Moderate,Not Selected
30,Female,Master's,12,5,5.2132183077925545,96,46,78,Constructive,Selected
30,Female,Bachelor's (Type 1),7,5,18.804654258321083,70,55,81,Moderate,Not Selected
43,Male,Bachelor's (Type 2),3,3,35.019220688126104,23,22,98,Aggressive,Not Selected
40,Female,Master's,12,5,14.706018190960034,10,17,29,Moderate,Not Selected
23,Male,Bachelor's (Type 1),7,5,42.38375973906359,72,0,97,Moderate,Not Selected
27,Male,PhD,1,5,37.993391330020174,11,34,41,Aggressive,Not Selected
43,Male,Bachelor's (Type 2),14,1,40.45114222740671,34,63,10,Moderate,Not Selected
22,Male,Bachelor's (Type 1),9,3,6.955326793835813,62,57,26,Moderate,Not Selected
41,Male,Master's,8,2,8.027356399777146,67,94,23,Moderate,Not Selected
40,Male,Bachelor's (Type 2),8,1,15.32368688722918,99,58,98,Moderate,Selected
21,Female,Bachelor's (Type 2),7,4,26.903858259878053,91,0,38,Constructive,Not Selected
43,Female,Bachelor's (Type 1),9,3,38.40080383497012,56,2,71,Moderate,Not Selected
31,Male,Bachelor's (Type 1),13,3,42.82654453804518,12,66,17,Moderate,Not Selected
49,Male,Bachelor's (Type 2),12,4,36.21676579785903,22,36,76,Aggressive,Selected
25,Female,Bachelor's (Type 2),9,4,47.42984407653192,82,82,44,Moderate,Not Selected
21,Male,Bachelor's (Type 2),0,4,37.93717548079651,100,28,87,Constructive,Not Selected
47,Male,Master's,1,2,16.313394350230737,38,88,86,Moderate,Not Selected
40,Female,Bachelor's (Type 2),5,5,14.25406421692863,87,32,11,Moderate,Not Selected
20,Male,Bachelor's (Type 1),9,3,35.80962251505449,79,99,48,Moderate,Not Selected
31,Male,Bachelor's (Type 2),4,5,10.643528434480714,96,60,93,Moderate,Not Selected
45,Male,PhD,11,5,5.635740540513495,11,92,30,Aggressive,Selected
41,Female,Master's,13,4,27.61114374280969,33,89,91,Constructive,Selected
48,Female,Bachelor's (Type 2),8,2,42.082078488947765,70,3,21,Aggressive,Not Selected
31,Female,Bachelor's (Type 2),4,1,6.068992123493176,74,13,43,Moderate,Not Selected
44,Male,Bachelor's (Type 2),1,2,40.59456618978646,30,90,91,Moderate,Not Selected
36,Male,Master's,9,5,41.5786002175774,92,32,63,Moderate,Selected
46,Female,Master's,3,2,25.113700004077177,61,21,76,Aggressive,Selected
46,Male,Bachelor's (Type 2),8,4,3.865515500524341,12,47,24,Moderate,Not Selected
